
Results of the calculations presented in the figures and tables of 
"Structure of even-even nuclei using a mapped collective Hamiltonian and the D1S Gogny interaction",
J.-P. Delaroche, M.Girod, J.Libert, H.Goutte, S.Hilaire, S.Péru, N.Pillet, and G.F.Bertsch, 
submitted for publication to Phys.Rev.C (2009), are tabulated below.
The table is also posted on the EPAPS repository, Document No.[??????????].
The quantities tabulated are listed by column.
The figures and tables that make use of the various quantities are also indicated.


	Entries 							Notations			Tables 				Figures
1. Proton number 							Z
2. Neutron number 							N
3. HFB energy minimum (MeV)						EHFB 				III		 		8,9
4. beta deformation at HFB energy minimum       			BMIN 								3a, 4
5. gamma deformation (degree) at HFB energy minimum 			GMIN 								3a
6. Charge radius (fm) at HFB energy minimum 	 			RCHFB				II 				6,7
7. Point proton radius (fm) at HFB energy minimum 	 			RPHFB
8. Neutron radius(fm) at HFB energy minimum 	 			RNHFB
9. CHFB+5DCH ground state energy (MeV)	 				EABS 				III 				8,9
10. Correlation energy (MeV)	 					ECORR 								8
11. Mean ground state beta deformation  				BET01 								3b, 4, 5
12. Mean ground state gamma deformation (degree) 			GAM01 								3b, 4, 5
13. Variance of ground state beta deformation 	 			DELB01 								5
14. Variance of ground state gamma deformation (degree)  		DELG01 								5
15. Yrast 2^+ state energy (MeV) 					E21 				IV 				10, 11, 12, 22
16. Yrast 4^+ state energy (MeV) 					E41 				IV 				10, 11, 12, 13, 14, 15, 21, 22
17. Yrast 6^+ state energy (MeV) 					E61 				IV 				10, 11, 13, 14, 15
18. First 0^+ excited state energy (MeV) 				E02 				IV 				20, 21, 22
19. Second 2^+ excited state energy (MeV) 				E22 				IV 				18,19
20. Third 2^+ excited state energy (MeV) 				E23 								18, 19, 26
21. P(K=0) for yrast 2^+ state (%) 					P(K=0,2_1)
22. P(K=2) for second 2^+ excited state (%) 				P(K=2,2_2) 							16,17
23. P(K=2) for third 2^+ excited state (%) 				P(K=2,2_3) 							17
24. B(E2; 2^+_1 --> 0^+_1) ( e**2 b**2) 				B(E2;2_1-0_1) 			I, IV 				10,11
25. B(E2; 2^+_3 --> 0^+_1) (e**2 b**2) 					B(E2;2_3-0_1) 			I 				23,24
26. B(E2; 2^+_1 --> 0^+_2) (e**2 b**2) 					B(E2;2_1-0_2) 			I				23,24
27. B(E2; 4^+_1 --> 2^+_1) (e**2 b**2) 					B(E2;4_1-2_1) 			I 				14
28. B(E2; 2^+_3 --> 2^+_1) (e**2 b**2) 					B(E2;2_3-2_1) 			I 				23,24
29. B(E2; 2^+_3 -->0^+_2) (e**2 b**2) 					B(E2;2_3-0_2) 			I 				26
30. CHFB+5DCH charge radius (fm)  					RC5DCH 								6,7
31. CHFB+5DCH point proton radius (fm) 					RP5DCH
32. CHFB+5DCH neutron radius (fm) 					RN5DCH
33. CHFB+5DCH squred E0 matrix element			 		ROE0TH 				IV			 	25
34. For each Z : Neutron number at 5DCH proton drip-line  		NMIN
35. For each Z : Neutron number at 5DCH neutron drip-line   		NMAX

   Z   N         EHFB      BMIN      GMIN     RCHFB   RPHFB   RNHFB        EABS         ECORR     BET01     GAM01    DELB01      DELG01    E21    E41     E61     E02     E22      E23         P(K=0,2_1)      P(K=2,2_2)      P(K=2,2_3)    B(E2;2_1-0_1)    B(E2;2_3-0_1)     B(E2;2_1-0_2)     B(E2;4_1-2_1)     B(E2;2_3-2_1)     B(E2;2_3-0_2)   RC5DCH   RP5DCH   RN5DCH      ROE0TH            NMIN  NMAX
  14  30       -309.294    0.258       60.    3.33    3.29    3.74       -313.042       -3.748    0.343       33.     0.083         13.   1.121   3.052   5.744   4.509   2.774   6.647            0.43            0.39            0.30      0.807525E+02      0.102040E+01      0.583636E+01      0.127065E+03      0.108690E+01      0.683141E+02     3.36     3.32     3.81      0.134E+00         10     30
  14  32       -309.833    0.000        0.    3.30    3.26    3.79       -312.765       -2.932    0.323       31.     0.082         13.   1.267   3.310   6.090   3.762   3.439   6.553            0.40            0.37            0.50      0.739584E+02      0.119327E+01      0.104691E+02      0.122306E+03      0.898362E+00      0.466349E+02     3.37     3.33     3.91     -0.137E+00         10     30
  14  34       -308.906    0.000        0.    3.32    3.29    3.94       -310.813       -1.907    0.334       31.     0.077         13.   1.294   3.191   5.796   3.871   3.412   6.640            0.39            0.34            0.44      0.835989E+02      0.103975E+01      0.965905E+01      0.136049E+03      0.942368E-02      0.614310E+02     3.39     3.35     4.05     -0.121E+00         10     30
  16  10       -170.953    0.000        0.    3.29    3.23    2.86       -175.181       -4.228    0.391       27.     0.087         13.   3.090   7.679  13.739  12.091   6.947  18.438            0.84            0.81            0.20      0.730595E+02      0.466383E+00      0.471975E+01      0.112352E+03      0.906852E-03      0.369532E+02     3.37     3.31     2.96      0.392E+00         12     34
  16  12       -207.112    0.127        0.    3.25    3.19    2.96       -212.817       -5.705    0.445       26.     0.102         13.   1.953   5.014   9.188   7.854   4.558  11.312            0.92            0.89            0.22      0.102051E+03      0.522985E+00      0.321971E+01      0.157600E+03      0.330309E-01      0.792250E+02     3.34     3.28     3.09     -0.413E+00         12     34
  16  14       -240.147    0.030       32.    3.21    3.15    3.02       -246.245       -6.098    0.401       29.     0.089         13.   2.186   5.621  10.303   7.818   4.762  12.011            0.59            0.54            0.34      0.910325E+02      0.916966E+00      0.491119E+01      0.140408E+03      0.143094E+00      0.685072E+02     3.32     3.26     3.15     -0.285E+00         12     34
  16  16       -266.324    0.030       56.    3.23    3.18    3.13       -274.038       -7.714    0.340       30.     0.075         13.   2.021   5.284   9.682  10.398   4.393  14.319            0.86            0.85            0.09      0.701071E+02      0.349841E+00      0.269359E+01      0.105142E+03      0.229169E+00      0.417506E+02     3.32     3.26     3.22      0.268E+00         12     34
  16  18       -287.593    0.000        0.    3.27    3.21    3.24       -292.161       -4.568    0.343       28.     0.098         13.   2.076   5.147   9.174   4.689   4.160   7.723            0.71            0.69            0.37      0.831594E+02      0.848077E+00      0.140043E+02      0.138540E+03      0.871849E-02      0.604443E+02     3.35     3.29     3.32      0.279E+00         12     34
  16  20       -306.313    0.000        0.    3.30    3.24    3.31       -309.112       -2.799    0.312       29.     0.071         13.   2.209   5.279   9.326   6.028   4.503  10.380            0.70            0.67            0.34      0.728131E+02      0.169125E+00      0.783617E+01      0.116076E+03      0.821015E-02      0.437492E+02     3.35     3.30     3.38     -0.157E+00         12     34
  16  22       -318.591    0.101        1.    3.32    3.27    3.41       -323.204       -4.613    0.312       27.     0.075         13.   1.982   4.836   8.586   5.703   4.325  10.036            0.84            0.81            0.22      0.783303E+02      0.278441E+00      0.778946E+01      0.124557E+03      0.219847E+00      0.373659E+02     3.37     3.32     3.45      0.154E+00         12     34
