A   Z  EHFB    BMIN
154 72 -1222.593 0.000
156 72 -1240.789 0.030
158 72 -1259.567 0.134
160 72 -1278.986 0.189
162 72 -1297.608 0.192
164 72 -1315.719 0.248
166 72 -1333.585 0.272
168 72 -1350.840 0.310
170 72 -1367.744 0.343
172 72 -1384.008 0.352
174 72 -1399.223 0.343
176 72 -1413.512 0.321
178 72 -1426.959 0.300
180 72 -1439.631 0.285
182 72 -1451.754 0.276
184 72 -1463.414 0.263
186 72 -1473.219 0.239
188 72 -1482.835 0.177
190 72 -1493.083 0.160
192 72 -1502.879 0.137
194 72 -1512.366 0.100
196 72 -1521.995 0.080
198 72 -1532.092 0.000
200 72 -1535.289 0.000
202 72 -1538.196 0.000
204 72 -1540.806 0.000
206 72 -1543.515 0.130
208 72 -1546.606 0.169
210 72 -1549.766 0.197
212 72 -1553.359 0.216
214 72 -1556.437 0.256
216 72 -1559.376 0.286
218 72 -1562.226 0.278
220 72 -1564.271 0.281
222 72 -1566.232 0.290
224 72 -1567.523 0.286
226 72 -1568.563 0.283
228 72 -1569.326 0.281
230 72 -1569.626 0.276
232 72 -1569.298 0.264
234 72 -1568.515 0.256
236 72 -1567.424 0.247
238 72 -1566.138 0.232
240 72 -1564.572 0.218
242 72 -1562.662 0.205
244 72 -1560.597 0.175
246 72 -1559.169 0.149
248 72 -1557.335 0.120
250 72 -1555.566 0.100
252 72 -1553.893 0.040
254 72 -1552.827 0.000
256 72 -1551.526 0.000
258 72 -1546.693 0.000
156 74 -1222.890 0.000
158 74 -1242.528 0.000
160 74 -1262.056 0.129
162 74 -1282.186 0.176
164 74 -1302.092 0.168
166 74 -1320.801 0.199
168 74 -1339.358 0.255
170 74 -1357.656 0.302
172 74 -1375.481 0.323
174 74 -1392.702 0.344
176 74 -1408.804 0.340
178 74 -1424.078 0.310
180 74 -1438.698 0.282
182 74 -1452.621 0.262
184 74 -1465.959 0.247
186 74 -1478.850 0.238
188 74 -1490.373 0.206
190 74 -1501.937 0.167
192 74 -1513.353 0.152
194 74 -1524.216 0.130
196 74 -1534.844 0.100
198 74 -1545.500 0.080
200 74 -1556.521 0.000
202 74 -1560.525 0.000
204 74 -1564.291 0.000
206 74 -1567.749 0.000
208 74 -1571.018 0.116
210 74 -1574.716 0.151
212 74 -1578.512 0.184
214 74 -1582.849 0.210
216 74 -1586.576 0.244
218 74 -1590.248 0.284
220 74 -1593.972 0.274
222 74 -1596.783 0.277
224 74 -1599.491 0.289
226 74 -1601.487 0.284
228 74 -1603.170 0.279
230 74 -1604.618 0.274
232 74 -1605.651 0.264
234 74 -1606.143 0.254
236 74 -1606.201 0.242
238 74 -1606.004 0.227
240 74 -1605.659 0.210
242 74 -1604.923 0.200
244 74 -1603.870 0.185
246 74 -1602.766 0.163
248 74 -1602.131 0.143
250 74 -1601.095 0.120
252 74 -1600.079 0.100
254 74 -1599.057 0.040
256 74 -1598.626 0.000
258 74 -1597.958 0.000
260 74 -1593.453 0.000
160 76 -1242.754 0.034
162 76 -1262.863 0.083
164 76 -1283.492 0.148
166 76 -1304.757 0.149
168 76 -1324.323 0.165
170 76 -1343.354 0.181
172 76 -1362.542 0.298
174 76 -1381.329 0.313
176 76 -1399.441 0.330
178 76 -1416.533 0.328
180 76 -1432.842 0.306
182 76 -1448.635 0.268
184 76 -1463.739 0.248
186 76 -1478.319 0.226
188 76 -1492.251 0.214
